"","centre","short_name","gridx","gridy","lat","long"
"1",10003,"Altrincham",3770,3880,53.388334,-2.3472847
"2",11001,"Manchester",3837,3965,53.464986,-2.2469899
"3",11002,"Oxford",4511,2060,51.750372,-1.261179
"4",11003,"Cardiff",3175,1793,51.506586,-3.1900906
"5",11004,"Glasgow",2590,6661,55.867383,-4.2547934
"6",11005,"Edinburgh",3254,6740,55.953212,-3.1962605
"7",11006,"Stoke",3885,3475,53.024665,-2.1729021
"8",11007,"Reading",4714,1736,51.456886,-0.97374819
"9",11008,"Bury",3806,4106,53.591615,-2.2945626
"10",11009,"Newcastle",4246,5639,54.969119,-1.617273
"11",11010,"Leeds",4300,4336,53.797846,-1.546028
"12",11011,"Bristol",3590,1731,51.455386,-2.5914692
"13",11012,"Barts",5320,1820,51.521501,-0.098806767
"14",11013,"Nottingham",4572,3393,52.948044,-1.1501578
"15",11014,"Sheffield",4352,3876,53.384079,-1.4722604
"16",11015,"Leicester",4585,3045,52.635106,-1.1370233
"17",11016,"Liverpool",3347,3906,53.408156,-2.9837628
"18",11017,"esbrough",4495,5203,54.575498,-1.2357748
"19",11018,"Hounslow",5130,1754,51.466298,-0.37464634
"20",11019,"Barking",5443,1845,51.540959,0.079382964
"21",11020,"Croydon",5325,1657,51.374903,-0.097702227
"22",11021,"Birmingham",4069,2869,52.478185,-1.8998364
"23",11022,"Swansea",2652,1923,51.613343,-3.9482641
"24",11023,"Wrexham",3335,3504,53.04671,-2.993411
"25",11024,"Cheadle",3880,3887,53.394993,-2.1819206
"26",11025,"Cheadle Pilot IC",3880,3887,53.394993,-2.1819206
"27",11026,"Reading IC",4650,1718,51.441473,-1.0661781
"28",11027,"Newcastle IC",4268,5639,54.969006,-1.5829094
"29",11028,"Bristol",3590,1731,51.455386,-2.5914692
